,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,CMO,,5.0,22.55,30.33,SERVICE,,,ออร์กาไนเซอร์ งานนิทรรศการ
1,SICT,,8.4,9.09,14.1,TECH,,,ผลิตภัณฑ์วงจรรวมหรือไมโครชิพ
2,ITNS,ST,4.28,8.08,104.0,,,,
3,ALL,,0.72,7.46,71.9,PROPCON,,,พัฒนาอสังหาริมทรัพย์
4,VL,,1.63,5.16,21.22,SERVICE,,,ขนส่ง
5,PSG,,1.41,4.44,223.65,PROPCON,,,
6,SELIC,,3.28,3.8,12.5,INDUS,,,กาว
7,CRD,,0.93,3.33,2.13,PROPCON,,,ระบบวิศวกรรมไฟฟ้าและสื่อสาร
8,TPLAS,,3.16,3.27,4.73,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
9,BSM,,0.33,3.12,0.72,PROPCON,,,เฟรมอลูมิเนียม
