,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TMI,,1.84,7.6,8.68,INDUS,,,อุปกรณ์ไฟฟ้า หลอดไฟ
1,GCAP,,1.36,5.43,16.52,FINCIAL,,ACAP GCAP,สินเชื่อเงินกู้ยืม
2,DHOUSE,,0.82,5.13,0.24,PROPCON,,,พัฒนาอสังหาริมทรัพย์
3,UPA,,0.24,4.35,90.77,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
4,HPT,,1.2,4.35,40.87,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
5,EFORL,C,0.52,4.0,39.92,CONSUMP,,,เครื่องมือแพทย์
6,TNDT,,0.55,3.77,6.12,SERVICE,,,ตรวจสอบและรับรองคุณภาพเครื่องจักร
7,BTW,,0.86,3.61,2.63,PROPCON,,,แปรรูปผลิตภัณฑ์เหล็ก
8,NINE,,7.25,3.57,0.01,SERVICE,,,
9,XO,,13.0,3.17,1.13,AGRO,,,เครื่องปรุงรสอาหาร | ซอส
