,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,UBA,,2.3,-1.71,95.78,,,,
1,MTW,,3.86,4.32,95.33,,,,
2,NEWS,C,0.03,0.0,57.77,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech,SERVICE,
3,PSG,,1.14,-0.87,50.24,,,PROPCON,
4,MORE,,0.42,-2.33,34.11,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค",SERVICE,
5,ECF,,1.76,0.0,29.9,JTS ZIGA UPA ECF AJA COMAN MVP,เฟอร์นิเจอร์ไม้และแปรรูปไม้ยางพารา,CONSUMP,
6,PRI,,22.5,6.64,24.44,,,,
7,TMC,,2.38,10.19,22.51,TSTH MILL INOX SAM KCM TMC,อลูมิเนียม ลวดเหล็ก เหล็กกล้า,INDUS,
8,PRAPAT,,1.66,-1.78,22.17,,,INDUS,
9,A5,,4.28,1.9,22.03,,,PROPCON,
