,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,ITNS,ST,4.06,4.37,435.19,,,,
1,SENAJ,,1.22,1.67,135.17,,,PROPCON,
2,PJW,,5.4,2.86,88.55,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก,INDUS,
3,SALEE,,1.4,12.0,64.06,SALEE SLP COLOR,พลาสติกสําหรับรถยนต์ พิมพ์สี,INDUS,
4,PSG,,1.34,-2.19,54.35,,,PROPCON,
5,NEWS,C,0.03,0.0,52.51,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech,SERVICE,
6,UPA,,0.22,-4.35,49.56,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค,RESOURC,
7,MORE,,2.48,0.81,40.58,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค",SERVICE,
8,ZIGA,,4.28,1.9,39.85,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining,INDUS,
9,ABM,,2.78,4.51,33.23,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล,RESOURC,
