,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,NEWS,C,0.04,33.33,21.01,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
1,COMAN,,4.52,29.89,5.5,TECH,,JTS ZIGA UPA ECF AJA COMAN MVP,ทำ Bitcoin mining เพิ่ม
2,BGT,,1.18,13.46,14.8,CONSUMP,,,เครื่องนุ่งห่ม
3,ITNS,ST,4.78,9.13,119.77,,,,
4,AMARC,,3.16,8.97,21.75,SERVICE,,,
5,TMC,,2.06,6.74,3.32,INDUS,,TSTH MILL INOX SAM KCM TMC,อลูมิเนียม ลวดเหล็ก เหล็กกล้า
6,SE,,1.27,6.72,7.46,SERVICE,,,ปั๊มสูบส่งนํ้า
7,SALEE,,1.23,6.03,9.21,INDUS,,SALEE SLP COLOR,พลาสติกสําหรับรถยนต์ พิมพ์สี
8,AUCT,,9.95,5.85,2.42,SERVICE,,,การประมูล
9,ABM,,2.0,5.82,5.09,RESOURC,,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล
