,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,PMTA,,11.0,10.0,0.36,INDUS,PETRO,,
1,W,,2.24,9.8,47.65,AGRO,FOOD,,วงจรอิเล็กทรอนิกส์สําหรับยานยนต์และเครื่องใช้ไฟฟ้า
2,GJS,,0.37,8.82,81.61,INDUS,STEEL,GJS TGPRO,เหล็กม้วน เหล็กรีดร้อน/เย็น
3,PTECH,,23.5,5.86,0.01,SERVICE,MEDIA,,
4,SCAP,,27.5,5.77,0.38,FINCIAL,FIN,,
5,NSL,,22.0,5.77,1.67,AGRO,FOOD,,แซนวิช
6,IT,,5.45,4.81,3.98,SERVICE,COMM,,สินค้าไอที
7,PLANB,,7.7,4.76,42.41,SERVICE,MEDIA,,ธุรกิจโฆษณา
8,GEL,,0.22,4.76,0.52,PROPCON,CONMAT,,คอนกรีต
9,SDC,,0.22,4.76,14.15,TECH,ICT,SAMART SAMTEL SDC,ธุรกิจวางโครงข่าย
