,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,WAVE,C,0.2,25.0,39.05,SERVICE,MEDIA,,
1,CPH,,39.75,15.22,6.78,CONSUMP,FASHION,CPH CPR CPL,เครื่องนุ่งห่ม
2,JWD,,20.9,12.97,29.71,SERVICE,TRANS,JWD WICE III LEO SONIC NCL,บริการทางด้านโลจิสติกส์
3,SPACK,,4.46,12.63,146.7,INDUS,PKG,UTP SCGP SPACK TPAC,กระดาษบรรจุภัณฑ์
4,JTS,,56.5,8.65,2.06,TECH,ICT,JTS ZIGA UPA ECF AJA COMAN MVP,ทำ Bitcoin mining เพิ่ม
5,HUMAN,,11.7,8.33,3.94,TECH,ICT,,บริการติดตั้งซอฟต์แวร์
6,ASAP,,3.44,7.5,4.36,FINCIAL,FIN,,เช่ารถยนต์
7,U,,1.57,6.8,113.35,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
8,BTNC,,11.0,5.77,0.01,CONSUMP,FASHION,,เครื่องนุ่งห่ม
9,ANAN,,1.48,5.71,40.72,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
