,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,KOOL,,0.58,7.41,35.1,SERVICE,,,พัดลมไอเย็น
1,FLOYD,,1.51,7.09,59.3,PROPCON,,,ระบบวิศวกรรมไฟฟ้าและสื่อสาร
2,AU,,11.1,5.71,5.21,AGRO,,,ร้านอาหาร
3,AMA,,6.4,4.92,5.2,SERVICE,,,ขนส่งทางเรือ
4,PROEN,,8.2,4.46,4.13,TECH,,,Data Center
5,KCC,,7.45,4.2,8.32,FINCIAL,,,บริหารจัดการสินทรัพย์ด้อยคุณภาพ
6,TAKUNI,,3.42,3.64,37.09,RESOURC,,CAZ TAKUNI,ปิโตรเลียมเหลว
7,PACO,,2.9,3.57,4.97,INDUS,,,ชิ้นส่วนเครื่องปรับอากาศรถยนต์
8,PPS,,0.61,3.39,4.29,PROPCON,,,ระบบวิศวกรรมไฟฟ้าและสื่อสาร
9,CPR,,6.3,3.28,5.36,INDUS,,TRUBB TWPC STA NER NDR CPR,ยางในรถจักรยานยนต์ | ชิ้นส่วนยางรถยนต์
