,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,UMS,C,2.56,29.95,5.96,RESOURC,,,นําเข้าถ่านหิน
1,DHOUSE,,0.79,12.86,3.63,PROPCON,,,พัฒนาอสังหาริมทรัพย์
2,ADD,,18.8,11.24,1.14,SERVICE,,,ให้บริการพัฒนาระบบเทคโนโลยีสารสนเทศ
3,BGT,,1.69,11.18,37.99,CONSUMP,,,เครื่องนุ่งห่ม
4,TRV,,4.34,8.5,37.23,INDUS,,,ชิ้นส่วนยางขึ้นรูปในยานยนต์
5,ABM,,2.8,6.87,63.52,RESOURC,,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล
6,OTO,,15.5,6.16,5.91,SERVICE,,,ระบบ Contact center
7,UREKA,,1.71,5.56,96.93,INDUS,,,เครื่องจักรอุตสาหกรรม
8,CAZ,,5.0,5.49,8.68,PROPCON,,CAZ TAKUNI,รับเหมาก่อสร้างในอุตสาหกรรม
9,SE,,1.4,5.26,34.39,SERVICE,,,ปั๊มสูบส่งนํ้า
