,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.04,33.33,7.08,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,NINE,,7.3,8.15,0.01,SERVICE,,,
2,STP,,16.1,8.05,3.3,INDUS,,,
3,TMW,,37.25,7.19,0.14,INDUS,,,พลาสติกสําหรับรถยนต์ พิมพ์สี
4,ARIP,,1.0,5.26,4.37,SERVICE,,SVOA SPVI ARIP CPW,ออร์กาไนเซอร์ งานนิทรรศการ
5,TMC,,2.18,4.81,2.66,INDUS,,TSTH MILL INOX SAM KCM TMC,อลูมิเนียม ลวดเหล็ก เหล็กกล้า
6,KLINIQ,,34.75,4.51,12.18,,,,
7,NCL,,2.96,4.23,1.94,SERVICE,,JWD WICE III LEO SONIC NCL,บริการทางด้านโลจิสติกส์
8,XO,,12.8,4.07,0.99,AGRO,,,เครื่องปรุงรสอาหาร | ซอส
9,KK,,2.58,4.03,0.0,SERVICE,,,ซุปเปอร์มาร์เก็ต
