,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TMC,,2.24,12.0,13.83,INDUS,,TSTH MILL INOX SAM KCM TMC,อลูมิเนียม ลวดเหล็ก เหล็กกล้า
1,SALEE,,1.4,12.0,64.06,INDUS,,SALEE SLP COLOR,พลาสติกสําหรับรถยนต์ พิมพ์สี
2,FPI,,3.7,6.32,15.08,INDUS,,,ชิ้นส่วนยานยนต์
3,CHIC,,1.0,5.26,25.36,SERVICE,,,เฟอร์นิเจอร์ตกแต่งภายใน
4,AU,,11.1,4.72,5.34,AGRO,,,ร้านอาหาร
5,ABM,,2.78,4.51,33.23,RESOURC,,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล
6,ITNS,ST,4.06,4.37,435.19,,,,
7,GLORY,,3.72,3.33,3.24,SERVICE,,,วรรณกรรมออนไลน์
8,SK,,0.99,3.12,4.39,PROPCON,,,คอนกรีตอัดแรง
9,PJW,,5.4,2.86,88.55,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
