,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,KLINIQ,,41.5,69.39,143.84,,,,
1,PSG,,1.45,5.07,120.31,,,PROPCON,
2,ZIGA,,4.54,2.25,93.05,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining,INDUS,
3,STOWER,C,0.04,-20.0,90.18,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า,RESOURC,
4,UPA,,0.23,-4.17,78.64,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค,RESOURC,
5,MORE,,2.84,-2.74,72.08,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค",SERVICE,
6,VL,,1.84,4.55,66.52,,ขนส่ง,SERVICE,
7,ALL,,0.73,7.35,43.98,,พัฒนาอสังหาริมทรัพย์,PROPCON,
8,PJW,,5.05,0.0,35.06,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก,INDUS,
9,CHIC,,1.05,2.94,34.72,,เฟอร์นิเจอร์ตกแต่งภายใน,SERVICE,
