,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,Q-CON,,9.55,13.02,33.41,PROPCON,CONMAT,,คอนกรีตเบา
1,TPBI,,5.55,11.0,11.75,INDUS,PKG,,ถุงซิป
2,TKT,,2.78,10.32,32.01,INDUS,AUTO,,ชิ้นส่วนพลาสติก
3,DCON,,0.44,10.0,60.52,PROPCON,CONMAT,,คอนกรีต
4,ROCK,,8.5,8.28,0.0,CONSUMP,HOME,,เฟอร์นิเจอร์สํานักงาน
5,KWI,,2.72,7.94,3.13,FINCIAL,INSUR,KWM KWI,ประกันชีวิต
6,VARO,,9.05,7.74,2.67,INDUS,IMM,,อลูมิเนียม
7,EMC,C,0.15,7.14,9.45,PROPCON,CONS,,ก่อสร้างวางระบบไฟฟ้า
8,SDC,,0.16,6.67,18.75,TECH,ICT,SAMART SAMTEL SDC,ธุรกิจวางโครงข่าย
9,TFM,,9.5,6.15,1.3,AGRO,AGRI,,อาหารสัตว์
