,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,2.78,6.11,207.52,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,NEWS,C,0.03,0.0,90.93,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
2,24CS,,3.88,-13.39,85.78,PROPCON,,,ขายและติดตั้งระบบปรับอากาศ
3,TPLAS,,3.12,3.31,83.73,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
4,PSG,,1.39,2.21,76.99,PROPCON,,,
5,MITSIB,,1.25,-10.71,67.48,FINCIAL,,,สินเชื่อรถแท็กซี่
6,CHIC,,1.07,3.88,64.1,SERVICE,,,เฟอร์นิเจอร์ตกแต่งภายใน
7,THANA,,2.86,17.21,56.3,PROPCON,,THANA PRECHA,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
8,SENAJ,,1.16,0.0,55.28,PROPCON,,,
9,ECF,,1.79,0.0,45.06,CONSUMP,,JTS ZIGA UPA ECF AJA COMAN MVP,เฟอร์นิเจอร์ไม้และแปรรูปไม้ยางพารา
