,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.05,25.0,6.47,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,UPA,,0.24,9.09,80.68,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
2,PROEN,,8.5,6.25,9.81,TECH,,,Data Center
3,DPAINT,,12.0,4.35,4.55,PROPCON,,,สีทาบ้าน
4,EFORL,C,0.49,4.26,38.31,CONSUMP,,,เครื่องมือแพทย์
5,ABM,,2.54,4.1,2.98,RESOURC,,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล
6,ABICO,,5.7,3.64,0.64,AGRO,,,นมยูเอชที
7,CHIC,,1.02,3.03,20.29,SERVICE,,,เฟอร์นิเจอร์ตกแต่งภายใน
8,HYDRO,C,1.03,3.0,0.03,PROPCON,,,ก่อสร้างและเดินระบบโครงการบําบัดนํ้าเสีย
9,VL,,1.76,2.92,40.29,SERVICE,,,ขนส่ง
