,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,NEWS,C,0.03,0.0,165.56,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
1,SENAJ,,1.24,-0.8,141.78,PROPCON,,,
2,UPA,,0.24,9.09,118.6,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
3,LDC,,1.35,7.14,85.06,SERVICE,,,ทันตกรรม
4,PSG,,1.35,-1.46,53.93,PROPCON,,,
5,PJW,,5.15,0.98,48.76,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
6,ABM,,2.58,-6.52,47.88,RESOURC,,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล
7,ALL,,0.67,-1.47,63.87,PROPCON,,,พัฒนาอสังหาริมทรัพย์
8,ZIGA,,4.38,-0.9,36.51,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
9,UREKA,,1.58,-3.66,27.63,INDUS,,,เครื่องจักรอุตสาหกรรม
