,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,NEWS,C,0.03,0.0,557.11,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
1,UBA,,2.34,37.65,489.45,,,,
2,MTW,,3.7,6.32,174.42,,,,
3,UPA,,0.19,-5.0,105.65,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
4,MORE,,0.43,0.0,84.38,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
5,A5,,4.2,21.39,82.97,PROPCON,,,
6,PSG,,1.15,-2.54,42.23,PROPCON,,,
7,PRAPAT,,1.69,7.64,21.8,INDUS,,,
8,STOWER,C,0.04,0.0,19.3,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
9,CHO,,0.37,-5.13,17.52,INDUS,,,รถบรรทุก รถพ่วง
