,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,KC,C,0.22,29.41,26.75,PROPCON,PROP,,
1,S&J,,34.25,11.38,0.0,CONSUMP,PERSON,,
2,NATION,C,0.3,11.11,80.1,SERVICE,MEDIA,,
3,DEMCO,,6.0,10.09,44.15,RESOURC,ENERG,,สาธารณูปโภคพื้นฐานและพลังงาน
4,QHOP,,2.5,7.76,0.06,PROPCON,PF&REIT,,
5,RT,,1.48,7.25,38.49,PROPCON,CONS,,สร้างอุโมงค์
6,EMC,C,0.15,7.14,11.26,PROPCON,CONS,,ก่อสร้างวางระบบไฟฟ้า
7,APCS,,5.05,6.54,1.71,PROPCON,CONS,,รับเหมาและจัดหาผลิตภัณฑ์แปรรูป
8,XPG,,1.52,6.29,84.7,FINCIAL,FIN,,โบรคเกอร์
9,TFI,,0.17,6.25,0.21,INDUS,PKG,,ฟิล์มพลาสติก บรรจุภัณฑ
