,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,SIRI,,1.74,2.35,421.96,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
1,NATION,C,0.15,-21.05,116.15,SERVICE,MEDIA,,
2,VGI,,4.36,5.31,107.41,SERVICE,MEDIA,,ธุรกิจโฆษณา
3,AQ,C,0.02,0.0,104.0,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
4,BEM,,9.5,0.53,191.15,SERVICE,TRANS,,ระบบขนส่งมวลชน
5,TRITN,,0.18,0.0,87.48,PROPCON,CONS,,รับเหมาขนาดเล็ก
6,TTB,,1.36,-1.45,69.98,FINCIAL,BANK,,กลาง
7,WHA,,3.88,-0.51,64.99,PROPCON,PROP,,นิคมอุตสาหกรรม
8,PTT,,31.75,-1.55,62.93,RESOURC,ENERG,,พลังงาน ปิโตรเคมี
9,DCON,,0.44,10.0,60.52,PROPCON,CONMAT,,คอนกรีต
