,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,2.88,4.35,345.07,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,KWM,,2.88,5.88,142.57,INDUS,,KWM KWI,ใบผาล อุปกรณ์การเกษตร
2,PSG,,1.36,-3.55,87.89,PROPCON,,,
3,SENAJ,,1.26,1.61,86.31,PROPCON,,,
4,NEWS,C,0.03,0.0,85.27,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
5,PJW,,5.05,-3.81,71.36,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
6,EFORL,C,0.48,11.63,64.43,CONSUMP,,,เครื่องมือแพทย์
7,ZIGA,,4.34,-0.91,48.72,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
8,UREKA,,1.51,0.67,44.49,INDUS,,,เครื่องจักรอุตสาหกรรม
9,KCC,,7.35,-11.45,35.24,FINCIAL,,,บริหารจัดการสินทรัพย์ด้อยคุณภาพ
