,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,NEWS,C,0.03,0.0,131.69,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
1,STOWER,C,0.05,25.0,130.64,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
2,MORE,,2.78,0.72,124.54,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
3,UPA,,0.23,-4.17,66.59,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
4,SENAJ,,1.26,0.0,63.78,PROPCON,,,
5,HPT,,1.17,-2.5,43.88,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
6,KLINIQ,,44.75,13.29,32.45,,,,
7,TAKUNI,,3.3,-4.07,30.23,RESOURC,,CAZ TAKUNI,ปิโตรเลียมเหลว
8,PSG,,1.44,0.7,29.48,PROPCON,,,
9,ZIGA,,4.2,-4.55,28.74,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
