,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.05,25.0,7.9,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,DHOUSE,,0.86,11.69,1.7,PROPCON,,,พัฒนาอสังหาริมทรัพย์
2,TMC,,2.38,9.17,17.81,INDUS,,TSTH MILL INOX SAM KCM TMC,อลูมิเนียม ลวดเหล็ก เหล็กกล้า
3,UPA,,0.24,9.09,118.6,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
4,GLORY,,3.98,8.15,11.79,SERVICE,,,วรรณกรรมออนไลน์
5,AUCT,,10.0,8.11,2.89,SERVICE,,,การประมูล
6,BBIK,,119.0,7.21,0.57,TECH,,,ที่ปรึกษาด้านกลุยทธ์ และการจัดการนวัตกรรมและเทคโนโลยี
7,LDC,,1.35,7.14,85.06,SERVICE,,,ทันตกรรม
8,PTC,,3.26,6.54,19.36,RESOURC,,,คลังนํ้ามันเชื้อเพลิง
9,SEAOIL,,4.4,6.28,14.93,RESOURC,,,ผลิตปิโตรเลียม
