,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,0.44,7.32,197.34,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,NEWS,C,0.04,33.33,48.16,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
2,TNDT,,0.48,23.08,40.45,SERVICE,,,ตรวจสอบและรับรองคุณภาพเครื่องจักร
3,VL,,1.65,-2.94,40.4,SERVICE,,,ขนส่ง
4,PSG,,1.17,-1.68,19.39,PROPCON,,,
5,STOWER,C,0.04,0.0,15.42,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
6,ALL,,0.38,0.0,15.18,PROPCON,,,พัฒนาอสังหาริมทรัพย์
7,A5,,3.8,1.6,10.29,PROPCON,,,
8,PRI,,18.8,3.87,9.73,,,,
9,GCAP,,1.3,1.56,8.58,FINCIAL,,ACAP GCAP,สินเชื่อเงินกู้ยืม
