,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,Q-CON,,8.45,11.92,6.98,PROPCON,CONMAT,,คอนกรีตเบา
1,PPPM,"C, NP",0.13,8.33,38.8,AGRO,AGRI,,อาหารสัตว์
2,DCON,,0.4,8.11,6.64,PROPCON,CONMAT,,คอนกรีต
3,TFI,,0.16,6.67,7.12,INDUS,PKG,,ฟิล์มพลาสติก บรรจุภัณฑ
4,BRR,,7.55,6.34,12.33,AGRO,FOOD,,นํ้าตาล
5,NCAP,,3.78,6.18,35.35,FINCIAL,FIN,NCAP SAK MICRO,สินเชื่อจักรยานยนต์
6,SPI,,71.0,5.97,0.05,SERVICE,COMM,,สินค้าอุปโภคบริโภค
7,SCAP,,28.0,5.66,1.01,FINCIAL,FIN,,
8,S&J,,33.0,5.6,0.05,CONSUMP,PERSON,,
9,NATION,"C, XR",0.19,5.56,226.07,SERVICE,MEDIA,,
