,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TMC,,2.38,10.19,22.51,INDUS,,TSTH MILL INOX SAM KCM TMC,อลูมิเนียม ลวดเหล็ก เหล็กกล้า
1,PRI,,22.5,6.64,24.44,,,,
2,SMART,,0.74,5.71,6.76,PROPCON,,,คอนกรีต
3,CHO,,0.39,5.41,7.61,INDUS,,,รถบรรทุก รถพ่วง
4,UPA,,0.2,5.26,15.89,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
5,BE8,,61.75,5.11,4.68,TECH,,,ที่ปรึกษาด้าน Digital Transformation
6,SE,,1.38,4.55,3.13,SERVICE,,,ปั๊มสูบส่งนํ้า
7,JSP,,3.78,4.42,4.0,CONSUMP,,NUSA JSP EVER PF,พัฒนาอสังหาริมทรัพย์
8,MTW,,3.86,4.32,95.33,,,,
9,STC,,0.76,4.11,2.09,PROPCON,,,คอนกรีตอัดแรง
