,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TNR,,12.6,29.23,7.91,CONSUMP,PERSON,,ถุงยาง
1,CTW,,6.7,12.61,1.55,INDUS,IMM,,สายไฟฟ้า
2,CPH,,39.75,10.42,6.92,CONSUMP,FASHION,CPH CPR CPL,เครื่องนุ่งห่ม
3,SVT,,3.9,8.33,65.83,SERVICE,COMM,,เครื่องจําหน่ายสินค้าอัตโนมัติ SUNVENDING
4,KDH,,91.75,7.62,0.01,SERVICE,HELTH,,
5,ROCK,,8.7,7.41,0.0,CONSUMP,HOME,,เฟอร์นิเจอร์สํานักงาน
6,SAWANG,,13.9,6.11,0.01,CONSUMP,FASHION,,
7,AAI,,7.45,5.67,57.68,,,,อาหารทะเลแช่แข็ง
8,QHOP,,2.66,5.56,0.12,PROPCON,PF&REIT,,
9,III,,14.3,4.38,12.97,SERVICE,TRANS,JWD WICE III LEO SONIC NCL,บริการทางด้านโลจิสติกส์
