,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,NEWS,C,0.04,33.33,48.16,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
1,TNDT,,0.48,23.08,40.45,SERVICE,,,ตรวจสอบและรับรองคุณภาพเครื่องจักร
2,MORE,,0.44,7.32,197.34,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
3,CPANEL,,9.95,6.42,1.65,PROPCON,,,คอนกรีต
4,SGF,,0.79,5.33,1.83,FINCIAL,,THANI AMANAH ECL ML SGF,สินเชื่อภาคธุรกิจ
5,YGG,,8.4,4.35,4.73,SERVICE,,YGG AS,คอมพิวเตอร์กราฟฟิก
6,IP,,14.8,4.23,0.91,CONSUMP,,,ผลิตภัณฑ์สุขภาพ
7,PROEN,,7.7,4.05,5.79,TECH,,,Data Center
8,PRI,,18.8,3.87,9.73,,,,
9,AU,,11.2,3.7,6.39,AGRO,,,ร้านอาหาร
