,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,UBA,,2.34,37.65,489.45,,,,
1,A5,,4.2,21.39,82.97,,,PROPCON,
2,CPANEL,,10.9,11.79,4.99,,คอนกรีต,PROPCON,
3,PRAPAT,,1.69,7.64,21.8,,,INDUS,
4,MTW,,3.7,6.32,174.42,,,,
5,AKP,,2.04,5.7,13.09,ETC BWG GENCO AKP ABM,เตาเผาขยะ,SERVICE,
6,PRI,,21.1,5.5,11.18,,,,
7,DV8,C,0.39,5.41,0.23,,ผลิตคอนเทนท์,SERVICE,
8,SMART,,0.7,4.48,1.65,,คอนกรีต,PROPCON,
9,UMS,C,2.0,3.63,0.02,,นําเข้าถ่านหิน,RESOURC,
