,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,JTS,,54.5,14.74,11.23,TECH,ICT,JTS ZIGA UPA ECF AJA COMAN MVP,ทำ Bitcoin mining เพิ่ม
1,MPIC,,1.81,14.56,22.34,SERVICE,MEDIA,MATCH MPIC,
2,TPBI,,5.25,11.7,14.48,INDUS,PKG,,ถุงซิป
3,SVI,,9.1,10.98,89.96,TECH,ETRON,,วงจรไฟฟ้า อิเล็กทรอนิกส์สําเร็จรูป
4,QHOP,,2.52,10.53,0.27,PROPCON,PF&REIT,,
5,F&D,,34.75,7.75,0.14,AGRO,FOOD,,อาหารเพื่อส่งออก
6,NEW,,72.0,7.46,0.0,SERVICE,HELTH,,
7,MSC,,10.1,7.45,2.99,TECH,ICT,,อุปกรณ์ไอที
8,SMT,,5.3,6.85,14.82,TECH,ETRON,,วงจรไฟฟ้า อิเล็กทรอนิกส์สําเร็จรูป
9,WAVE,C,0.16,6.67,849.26,SERVICE,MEDIA,,
