,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.05,25.0,130.64,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,KLINIQ,,44.75,13.29,32.45,,,,
2,TPCH,,8.0,6.67,2.35,RESOURC,,,ไฟฟ้าชีวมวล -ขยะ
3,SALEE,,1.46,3.55,23.15,INDUS,,SALEE SLP COLOR,พลาสติกสําหรับรถยนต์ พิมพ์สี
4,BM,,4.76,3.03,16.46,INDUS,,,แปรรูปผลิตภัณฑ์เหล็ก
5,GLORY,,3.42,3.01,0.86,SERVICE,,,วรรณกรรมออนไลน์
6,CPANEL,,8.2,2.5,0.61,PROPCON,,,คอนกรีต
7,CHO,,0.5,2.04,3.97,INDUS,,,รถบรรทุก รถพ่วง
8,DV8,C,0.5,2.04,0.09,SERVICE,,,ผลิตคอนเทนท์
9,PPS,,0.59,1.72,0.23,PROPCON,,,ระบบวิศวกรรมไฟฟ้าและสื่อสาร
