,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,2.48,-10.79,396.95,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,SE,,1.33,-1.48,116.38,SERVICE,,,ปั๊มสูบส่งนํ้า
2,SENAJ,,1.17,0.86,112.52,PROPCON,,,
3,PSG,,1.35,-2.88,95.37,PROPCON,,,
4,NEWS,C,0.03,0.0,77.82,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
5,THANA,,3.16,10.49,66.84,PROPCON,,THANA PRECHA,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
6,TAKUNI,,3.64,2.82,65.96,RESOURC,,CAZ TAKUNI,ปิโตรเลียมเหลว
7,CHIC,,0.95,-11.21,65.57,SERVICE,,,เฟอร์นิเจอร์ตกแต่งภายใน
8,UREKA,,1.67,7.05,63.06,INDUS,,,เครื่องจักรอุตสาหกรรม
9,PJW,,5.0,1.21,45.76,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
