,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,KLINIQ,,41.5,69.39,143.84,,,,
1,NPK,,15.0,11.11,0.0,,ถุงน่อง,CONSUMP,
2,ALL,,0.73,7.35,43.98,,พัฒนาอสังหาริมทรัพย์,PROPCON,
3,NCL,,3.1,6.9,8.66,JWD WICE III LEO SONIC NCL,บริการทางด้านโลจิสติกส์,SERVICE,
4,AMARC,,3.54,5.36,33.98,,,SERVICE,
5,PSG,,1.45,5.07,120.31,,,PROPCON,
6,VL,,1.84,4.55,66.52,,ขนส่ง,SERVICE,
7,PRAPAT,,1.4,3.7,2.1,,,INDUS,
8,MITSIB,,1.13,3.67,15.42,,สินเชื่อรถแท็กซี่,FINCIAL,
9,LEO,,13.3,3.1,4.03,JWD WICE III LEO SONIC NCL,บริการทางด้านโลจิสติกส์,SERVICE,
