,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,MTW,,3.52,22.22,511.13,,,,
1,MORE,,0.44,-4.35,112.25,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค",SERVICE,
2,A5,,3.36,-17.24,97.43,,,PROPCON,
3,PSG,,1.18,-0.84,44.78,,,PROPCON,
4,VL,,1.64,-4.09,28.59,,ขนส่ง,SERVICE,
5,STOWER,C,0.05,25.0,26.63,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า,RESOURC,
6,NEWS,C,0.03,0.0,25.01,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech,SERVICE,
7,ABM,,2.18,9.55,12.86,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล,RESOURC,
8,PRI,,20.4,5.15,12.09,,,,
9,CHO,,0.39,2.63,11.06,,รถบรรทุก รถพ่วง,INDUS,
