,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.05,25.0,7.81,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,BBIK,,128.0,8.02,1.28,TECH,,,ที่ปรึกษาด้านกลุยทธ์ และการจัดการนวัตกรรมและเทคโนโลยี
2,MORE,,2.6,7.44,133.97,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
3,DPAINT,,11.9,7.21,7.53,PROPCON,,,สีทาบ้าน
4,DV8,C,0.48,6.67,0.61,SERVICE,,,ผลิตคอนเทนท์
5,HPT,,1.17,5.41,68.81,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
6,CRD,,0.98,5.38,7.21,PROPCON,,,ระบบวิศวกรรมไฟฟ้าและสื่อสาร
7,AMA,,6.2,4.2,3.28,SERVICE,,,ขนส่งทางเรือ
8,FPI,,3.82,3.8,12.17,INDUS,,,ชิ้นส่วนยานยนต์
9,ZIGA,,4.46,3.72,43.32,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
