,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.05,25.0,8.39,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,TPS,,3.3,14.58,14.56,TECH,,,วางระบบโทรคมนาคม
2,TMC,,2.02,11.6,12.81,INDUS,,TSTH MILL INOX SAM KCM TMC,อลูมิเนียม ลวดเหล็ก เหล็กกล้า
3,IRCP,,1.45,10.69,11.01,TECH,,,บริการเทคโนโลยีสารสนเทศแบบครบวงจร
4,THANA,,3.16,10.49,66.84,PROPCON,,THANA PRECHA,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
5,LEO,,13.0,10.17,5.76,SERVICE,,JWD WICE III LEO SONIC NCL,บริการทางด้านโลจิสติกส์
6,ARIP,,1.0,8.7,6.1,SERVICE,,SVOA SPVI ARIP CPW,ออร์กาไนเซอร์ งานนิทรรศการ
7,UREKA,,1.67,7.05,63.06,INDUS,,,เครื่องจักรอุตสาหกรรม
8,PROS,,2.5,6.84,17.28,PROPCON,,,งานระบบวิศวกรรมประกอบอาคาร
9,KCC,,9.7,6.59,6.66,FINCIAL,,,บริหารจัดการสินทรัพย์ด้อยคุณภาพ
