,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,2.94,2.08,497.57,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,24CS,,4.24,14.59,162.49,PROPCON,,,ขายและติดตั้งระบบปรับอากาศ
2,NEWS,C,0.04,33.33,129.16,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
3,TAKUNI,,3.56,-5.32,89.77,RESOURC,,CAZ TAKUNI,ปิโตรเลียมเหลว
4,AMARC,,3.36,5.66,57.82,SERVICE,,,
5,SELIC,,3.08,-4.35,39.47,INDUS,,,กาว
6,UREKA,,1.53,1.32,38.47,INDUS,,,เครื่องจักรอุตสาหกรรม
7,SENAJ,,1.26,0.0,31.92,PROPCON,,,
8,PJW,,5.05,0.0,30.47,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
9,PSG,,1.39,2.21,27.97,PROPCON,,,
