,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,WAVE,C,0.16,6.67,849.26,SERVICE,MEDIA,,
1,AQUA,,0.69,2.99,111.86,SERVICE,MEDIA,,
2,THCOM,,11.4,-7.32,94.8,TECH,ICT,,ดาวเทียม
3,TTB,,1.36,0.0,93.23,FINCIAL,BANK,,กลาง
4,WHA,,3.84,-2.54,93.17,PROPCON,PROP,,นิคมอุตสาหกรรม
5,AAI,,7.05,-4.73,91.27,,,,อาหารทะเลแช่แข็ง
6,SITHAI,,1.68,3.7,90.67,INDUS,PKG,,ซุปเปอร์แวร์
7,SVI,,9.1,10.98,89.96,TECH,ETRON,,วงจรไฟฟ้า อิเล็กทรอนิกส์สําเร็จรูป
8,TRITN,,0.21,0.0,82.55,PROPCON,CONS,,รับเหมาขนาดเล็ก
9,TEGH,,4.78,-2.85,81.7,AGRO,AGRI,,
