,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,HPT,,0.96,-8.57,74.78,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
1,PSG,,1.34,-0.74,41.59,PROPCON,,,
2,ALL,,0.51,-8.93,41.08,PROPCON,,,พัฒนาอสังหาริมทรัพย์
3,SENAJ,,1.2,-4.0,39.35,PROPCON,,,
4,UREKA,,1.36,0.0,35.92,INDUS,,,เครื่องจักรอุตสาหกรรม
5,UPA,,0.22,0.0,32.43,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
6,DIMET,,0.49,-2.0,29.66,PROPCON,,,สีทาบ้าน
7,PRAPAT,,1.55,0.65,27.01,INDUS,,,
8,NEWS,C,0.03,0.0,17.7,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
9,CHIC,,0.85,2.41,12.83,SERVICE,,,เฟอร์นิเจอร์ตกแต่งภายใน
