,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,KWI,,3.92,15.98,71.09,FINCIAL,INSUR,KWM KWI,ประกันชีวิต
1,PRECHA,,1.51,10.22,27.09,PROPCON,PROP,THANA PRECHA,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
2,CPH,,34.5,9.52,7.43,CONSUMP,FASHION,CPH CPR CPL,เครื่องนุ่งห่ม
3,W,,2.1,9.38,25.22,AGRO,FOOD,,วงจรอิเล็กทรอนิกส์สําหรับยานยนต์และเครื่องใช้ไฟฟ้า
4,SKN,,5.35,7.0,1.32,PROPCON,CONMAT,,แผ่นไม้
5,CPL,,2.66,6.4,4.88,CONSUMP,FASHION,CPH CPR CPL,หนังวัวฟอก
6,TFM,,8.9,5.95,0.25,AGRO,AGRI,,อาหารสัตว์
7,CCET,,2.22,5.71,4.35,TECH,ETRON,,อุปกรณ์จัดเก็บข้อมูล กล่องแปลงสัญญาณ
8,III,,13.5,5.47,9.17,SERVICE,TRANS,JWD WICE III LEO SONIC NCL,บริการทางด้านโลจิสติกส์
9,JMT,,64.25,4.9,14.05,FINCIAL,FIN,JMART JMT SINGER J,บริหารหนี้
