,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TTB,,1.28,3.23,559.09,FINCIAL,BANK,,กลาง
1,TRUE,,5.1,-0.97,274.53,TECH,ICT,,บริการสื่อสารโทรคมนาคม
2,SIRI,,1.28,2.4,180.09,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
3,WHA,,3.62,4.02,128.27,PROPCON,PROP,,นิคมอุตสาหกรรม
4,SUPER,,0.75,2.74,127.19,RESOURC,ENERG,,ไฟฟ้าเซลล์แสงอาทิตย์
5,U,,1.57,1.29,85.67,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
6,GUNKUL,,5.0,0.0,80.02,RESOURC,ENERG,,ผลิตไฟฟ้า
7,CHG,,3.58,1.7,78.77,SERVICE,HELTH,,โรงพยาบาลขนาดกลาง
8,STARK,,3.5,-3.31,73.42,INDUS,IMM,,สายไฟฟ้า
9,BANPU,,12.7,2.42,68.85,RESOURC,ENERG,,ถ่านหิน
