,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,F&D,,31.0,10.71,0.05,AGRO,FOOD,,อาหารเพื่อส่งออก
1,WPH,,3.7,9.47,15.39,SERVICE,HELTH,,โรงพยาบาลขนาดกลาง
2,WAVE,C,0.15,7.14,36.95,SERVICE,MEDIA,,
3,MNIT,,1.67,7.05,0.03,PROPCON,PF&REIT,,
4,BTNC,,12.6,6.78,0.0,CONSUMP,FASHION,,เครื่องนุ่งห่ม
5,NFC,,6.5,6.56,11.62,INDUS,PETRO,,แอมโมเนีย กรดกํามะถัน
6,TFI,,0.17,6.25,3.14,INDUS,PKG,,ฟิล์มพลาสติก บรรจุภัณฑ
7,DEMCO,,5.45,5.83,25.29,RESOURC,ENERG,,สาธารณูปโภคพื้นฐานและพลังงาน
8,NEW,,75.0,5.63,0.0,SERVICE,HELTH,,
9,BIG,,0.72,4.35,7.47,SERVICE,COMM,,สินค้าไอที
