,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,NPK,,15.9,6.71,0.0,CONSUMP,,,ถุงน่อง
1,TPS,,3.56,6.59,6.5,TECH,,,วางระบบโทรคมนาคม
2,KCC,,10.0,5.26,21.43,FINCIAL,,,บริหารจัดการสินทรัพย์ด้อยคุณภาพ
3,AMA,,5.8,4.5,6.05,SERVICE,,,ขนส่งทางเรือ
4,TVT,,0.83,3.75,1.37,SERVICE,,TVDH TVT NBC,ผลิตคอนเทนท์
5,NETBAY,,29.75,3.48,0.94,TECH,,,ซอฟต์แวร์ พัฒนาแพลตฟอร์ม
6,ZIGA,,4.42,3.27,112.7,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
7,LEO,,13.0,3.17,2.81,SERVICE,,JWD WICE III LEO SONIC NCL,บริการทางด้านโลจิสติกส์
8,TVDH,,1.05,2.94,8.08,SERVICE,,TVDH TVT NBC,ขายออนไลน์
9,IP,,15.5,2.65,0.58,CONSUMP,,,ผลิตภัณฑ์สุขภาพ
