,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,SMK,"C, NP",6.1,29.24,3.43,FINCIAL,INSUR,,ประกันวินาศภัย
1,TCOAT,,29.0,10.48,0.0,INDUS,PKG,,
2,SAT,,21.4,8.63,5.41,INDUS,AUTO,,ชิ้นส่วนยานยนต์
3,KAMART,,6.45,6.61,29.35,SERVICE,COMM,DDD BEAUTY KAMART RS KISS,เครื่องสําอางค์
4,KISS,,10.0,6.38,11.2,CONSUMP,PERSON,DDD BEAUTY KAMART RS KISS,เครื่องสําอางค์
5,TRU,,7.0,6.06,1.81,INDUS,AUTO,,ชิ้นส่วนยานยนต์
6,CH,,4.96,5.98,24.58,AGRO,FOOD,,
7,CWT,,2.84,5.97,13.8,INDUS,AUTO,,โรงฟอกหนัง
8,BTNC,,11.6,5.45,0.0,CONSUMP,FASHION,,เครื่องนุ่งห่ม
9,TTW,,8.8,5.39,23.49,RESOURC,ENERG,,พัฒนาทรัพยากรนํ้า
