,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,NEWS,C,0.04,33.33,129.16,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
1,24CS,,4.24,14.59,162.49,PROPCON,,,ขายและติดตั้งระบบปรับอากาศ
2,YONG,,2.1,6.6,11.98,PROPCON,,,คอนกรีต
3,SPVI,,6.3,5.88,1.31,TECH,,SVOA SPVI ARIP CPW,
4,AMARC,,3.36,5.66,57.82,SERVICE,,,
5,SEAOIL,,4.5,4.65,15.55,RESOURC,,,ผลิตปิโตรเลียม
6,SALEE,,1.43,4.38,4.62,INDUS,,SALEE SLP COLOR,พลาสติกสําหรับรถยนต์ พิมพ์สี
7,BSM,,0.33,3.12,0.94,PROPCON,,,เฟรมอลูมิเนียม
8,FVC,,1.67,3.09,14.41,SERVICE,,,ระบบบําบัดนํ้า
9,SR,,1.42,2.9,0.15,RESOURC,,,ปิโตรเลียมเหลว
