,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,PTC,,3.16,16.18,116.47,RESOURC,,,คลังนํ้ามันเชื้อเพลิง
1,PJW,,5.25,2.94,87.02,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
2,ARIP,,1.09,15.96,75.2,SERVICE,,SVOA SPVI ARIP CPW,ออร์กาไนเซอร์ งานนิทรรศการ
3,NEWS,C,0.03,0.0,67.62,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
4,SENAJ,,1.2,0.0,60.38,PROPCON,,,
5,AMARC,,3.24,-7.95,48.81,SERVICE,,,
6,PSG,,1.37,0.0,43.66,PROPCON,,,
7,UREKA,,1.66,-2.92,43.23,INDUS,,,เครื่องจักรอุตสาหกรรม
8,HPT,,1.08,-1.82,42.1,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
9,MORE,,2.46,0.82,29.03,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
