,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,PSG,,1.41,4.44,223.65,PROPCON,,,
1,NEWS,C,0.03,0.0,111.7,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
2,ITNS,ST,4.28,8.08,104.0,,,,
3,LDC,,1.33,-1.48,80.95,SERVICE,,,ทันตกรรม
4,ALL,,0.72,7.46,71.9,PROPCON,,,พัฒนาอสังหาริมทรัพย์
5,SENAJ,,1.25,0.81,57.46,PROPCON,,,
6,A5,,2.72,1.49,39.48,PROPCON,,,
7,TAKUNI,,3.58,2.87,34.41,RESOURC,,CAZ TAKUNI,ปิโตรเลียมเหลว
8,HPT,,1.11,2.78,33.67,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
9,PJW,,5.25,1.94,32.82,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
