,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,WAVE,C,0.15,25.0,1195.69,SERVICE,MEDIA,,
1,TRITN,,0.22,15.79,316.94,PROPCON,CONS,,รับเหมาขนาดเล็ก
2,NFC,,5.9,13.46,22.14,INDUS,PETRO,,แอมโมเนีย กรดกํามะถัน
3,AJ,,13.6,8.8,2.22,INDUS,PKG,AJ PTL SFLEX,ฟิล์มพลาสติก บรรจุภัณฑ
4,UOBKH,,5.8,7.41,0.58,FINCIAL,FIN,,โบรคเกอร์
5,KCAR,,9.35,5.65,0.68,FINCIAL,FIN,,เช่ารถยนต์
6,URBNPF,,2.32,5.45,0.0,PROPCON,PF&REIT,,
7,BEYOND,,12.8,4.92,1.2,SERVICE,TOURISM,,
8,Q-CON,,5.5,4.76,4.66,PROPCON,CONMAT,,คอนกรีตเบา
9,GEL,,0.22,4.76,4.76,PROPCON,CONMAT,,คอนกรีต
