,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,ITNS,ST,4.78,9.13,119.77,,,,
1,KJL,,17.7,-0.56,110.57,,,,
2,UREKA,,1.51,3.42,61.42,,เครื่องจักรอุตสาหกรรม,INDUS,
3,PSG,,1.32,1.54,35.39,,,PROPCON,
4,UPA,,0.19,-5.0,32.58,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค,RESOURC,
5,A5,,3.1,4.73,30.74,,,PROPCON,
6,EFORL,C,0.39,-11.36,23.07,,เครื่องมือแพทย์,CONSUMP,
7,ALL,,0.39,-4.88,22.81,,พัฒนาอสังหาริมทรัพย์,PROPCON,
8,BROOK,,0.41,-4.65,21.92,,ปรึกษาธุรกิจด้านการเงินและลงทุนสกุลเงินดิจิติล,FINCIAL,
9,AMARC,,3.16,8.97,21.75,,,SERVICE,
