,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,2.6,7.44,133.97,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,ITNS,ST,4.26,-0.47,70.13,,,,
2,PJW,,5.1,-2.86,69.25,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
3,HPT,,1.17,5.41,68.81,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
4,UPA,,0.23,0.0,66.21,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
5,PSG,,1.42,0.71,64.68,PROPCON,,,
6,SENAJ,,1.25,0.0,49.64,PROPCON,,,
7,NEWS,C,0.03,0.0,46.35,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
8,ZIGA,,4.46,3.72,43.32,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
9,VL,,1.64,0.61,37.34,SERVICE,,,ขนส่ง
