,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,DEMCO,,4.86,11.47,18.87,RESOURC,ENERG,,สาธารณูปโภคพื้นฐานและพลังงาน
1,INSURE,,329.0,9.67,0.01,FINCIAL,INSUR,,ประกันวินาศภัย
2,TEAMG,,17.9,7.19,11.25,PROPCON,CONS,,ที่ปรึกษาด้านวิศวกรรมและสิ่งแวดล้อม
3,WAVE,C,0.15,7.14,104.45,SERVICE,MEDIA,,
4,TPBI,,4.7,6.82,11.1,INDUS,PKG,,ถุงซิป
5,TU-PF,,0.96,6.67,0.0,PROPCON,PF&REIT,,
6,TSR,,4.04,6.32,23.1,CONSUMP,HOME,,เครื่องกรองนํ้า
7,BBGI,,6.8,6.25,12.88,RESOURC,ENERG,,เอทานอล ไบโอดีเซล
8,PRINC,,6.75,5.47,21.73,SERVICE,HELTH,,โรงพยาบาลขนาดกลาง
9,OHTL,,506.0,5.42,0.0,SERVICE,TOURISM,,โรงแรม
