,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,NEWS,C,0.03,0.0,156.59,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
1,SENAJ,,1.17,-2.5,39.61,PROPCON,,,
2,A5,,2.86,5.15,39.25,PROPCON,,,
3,PSG,,1.34,0.0,36.9,PROPCON,,,
4,ECF,,1.75,0.0,24.49,CONSUMP,,JTS ZIGA UPA ECF AJA COMAN MVP,เฟอร์นิเจอร์ไม้และแปรรูปไม้ยางพารา
5,HPT,,0.97,1.04,23.36,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
6,UREKA,,1.36,0.0,19.69,INDUS,,,เครื่องจักรอุตสาหกรรม
7,VL,,1.69,0.0,18.3,SERVICE,,,ขนส่ง
8,UPA,,0.22,0.0,18.25,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
9,ALL,,0.49,-3.92,13.29,PROPCON,,,พัฒนาอสังหาริมทรัพย์
