,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,AQUA,,0.69,7.81,312.04,SERVICE,MEDIA,,
1,POLY,,7.3,7.35,292.15,,,,
2,TTB,,1.37,0.74,280.17,FINCIAL,BANK,,กลาง
3,SIRI,,1.35,-1.46,125.86,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
4,BANPU,,12.5,0.0,119.25,RESOURC,ENERG,,ถ่านหิน
5,JAS,,2.5,-1.57,112.62,TECH,ICT,MONO JAS,บริการสื่อสารโทรคมนาคม
6,MONO,,1.52,2.01,69.32,SERVICE,MEDIA,MONO JAS,
7,JASIF,,8.65,3.59,69.08,TECH,ICT,,กองทุนรวมของระบบโทรคมนาคม
8,TRITN,,0.19,0.0,66.45,PROPCON,CONS,,รับเหมาขนาดเล็ก
9,PLANB,,8.1,2.53,62.2,SERVICE,MEDIA,,ธุรกิจโฆษณา
