,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,WAVE,C,0.14,-17.65,858.69,SERVICE,MEDIA,,
1,JKN,,4.82,-13.93,349.9,SERVICE,MEDIA,,
2,U,,1.62,1.25,237.51,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
3,AQUA,,0.66,3.12,179.47,SERVICE,MEDIA,,
4,WHA,,3.92,1.55,171.6,PROPCON,PROP,,นิคมอุตสาหกรรม
5,TTB,,1.35,-0.74,161.49,FINCIAL,BANK,,กลาง
6,SPACK,,4.52,14.72,103.17,INDUS,PKG,UTP SCGP SPACK TPAC,กระดาษบรรจุภัณฑ์
7,TRITN,,0.19,-5.0,92.58,PROPCON,CONS,,รับเหมาขนาดเล็ก
8,SIRI,,1.29,-0.77,88.47,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
9,TGE,,2.02,0.0,73.55,RESOURC,ENERG,,ไฟฟ้าชีวมวล -ขยะ
