,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,JKN,,5.6,25.56,285.43,SERVICE,MEDIA,,
1,PCC,,3.48,8.07,143.63,RESOURC,ENERG,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
2,TH,,4.06,7.98,62.52,FINCIAL,FIN,,
3,PORT,,2.18,6.86,2.87,SERVICE,TRANS,,ท่าเรือ
4,AAV,,3.18,6.71,129.17,SERVICE,TRANS,,สนามบิน สายการบิน
5,3K-BAT,,68.0,6.25,0.0,INDUS,AUTO,,แบตเตอรี่
6,SAMTEL,,7.05,6.02,0.81,TECH,ICT,SAMART SAMTEL SDC,ธุรกิจวางโครงข่าย
7,TC,,13.7,5.38,2.41,AGRO,FOOD,,อาหารทะเลแช่แข็ง
8,Q-CON,,5.3,4.95,1.19,PROPCON,CONMAT,,คอนกรีตเบา
9,SDC,,0.22,4.76,5.8,TECH,ICT,SAMART SAMTEL SDC,ธุรกิจวางโครงข่าย
