,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,UPA,,0.24,4.35,90.77,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
1,PSG,,1.43,-1.38,78.58,PROPCON,,,
2,SENAJ,,1.26,0.8,56.74,PROPCON,,,
3,ZIGA,,4.4,-3.08,51.67,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
4,MORE,,2.76,-2.82,41.99,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
5,ECF,,1.76,-1.12,41.85,CONSUMP,,JTS ZIGA UPA ECF AJA COMAN MVP,เฟอร์นิเจอร์ไม้และแปรรูปไม้ยางพารา
6,ALL,,0.69,-5.48,40.87,PROPCON,,,พัฒนาอสังหาริมทรัพย์
7,HPT,,1.2,4.35,40.87,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
8,EFORL,C,0.52,4.0,39.92,CONSUMP,,,เครื่องมือแพทย์
9,NEWS,C,0.03,0.0,31.85,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
