,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,AQ,C,0.03,50.0,30.32,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
1,SHREIT,NP,3.36,21.74,0.94,PROPCON,PF&REIT,,
2,TWZ,,0.07,16.67,3.33,TECH,ICT,,
3,Q-CON,,7.65,15.91,8.05,PROPCON,CONMAT,,คอนกรีตเบา
4,TEAM,,9.95,13.07,52.39,TECH,ETRON,,วงจรอิเล็กทรอนิกส์สําหรับยานยนต์และเครื่องใช้ไฟฟ้า
5,AURA,,15.9,6.71,49.62,,,,
6,KAMART,,8.0,6.67,8.16,SERVICE,COMM,DDD BEAUTY KAMART RS KISS,เครื่องสําอางค์
7,UP,,22.5,6.64,0.0,INDUS,PETRO,,ฉีดชิ้นส่วนพลาสติกและแม่พิมพ์สําหรับยานยนต์
8,NUSA,,1.21,5.22,104.39,PROPCON,PROP,NUSA JSP EVER PF,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
9,GRAND,,0.23,4.55,7.23,SERVICE,TOURISM,,โรงแรม
