,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,1.37,-29.74,97.76,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,VL,,1.61,-7.47,57.25,SERVICE,,,ขนส่ง
2,HPT,,1.12,-5.88,55.64,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
3,NEWS,C,0.03,0.0,50.15,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
4,STOWER,C,0.04,0.0,50.05,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
5,PSG,,1.36,1.49,49.05,PROPCON,,,
6,SALEE,,1.27,-9.93,44.09,INDUS,,SALEE SLP COLOR,พลาสติกสําหรับรถยนต์ พิมพ์สี
7,FPI,,3.38,-7.65,41.39,INDUS,,,ชิ้นส่วนยานยนต์
8,EFORL,C,0.46,-6.12,29.15,CONSUMP,,,เครื่องมือแพทย์
9,BLESS,,1.13,0.0,28.39,PROPCON,,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
