,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,AWC,,6.3,1.61,407.61,PROPCON,PROP,,โรงแรม สํานักงาน และพื้นที่ให้เช่า
1,SIRI,,1.57,1.29,221.92,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
2,WAVE,C,0.14,0.0,187.06,SERVICE,MEDIA,,
3,NUSA,,1.15,-8.0,166.91,PROPCON,PROP,NUSA JSP EVER PF,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
4,BAM,,15.0,-3.23,166.33,FINCIAL,FIN,,บริหารจัดการสินทรัพย์ด้อยคุณภาพ
5,CHG,,3.7,3.93,154.08,SERVICE,HELTH,,โรงพยาบาลขนาดกลาง
6,TTB,,1.4,1.45,150.64,FINCIAL,BANK,,กลาง
7,AURA,,14.2,-3.4,108.96,,,,
8,BANPU,,13.1,1.55,98.01,RESOURC,ENERG,,ถ่านหิน
9,PTT,,33.25,0.0,88.36,RESOURC,ENERG,,พลังงาน ปิโตรเคมี
