,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,2.92,-0.68,207.14,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,UPA,,0.24,9.09,80.68,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
2,PJW,,5.05,0.0,72.8,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
3,24CS,,4.16,-1.89,54.93,PROPCON,,,ขายและติดตั้งระบบปรับอากาศ
4,ZIGA,,4.44,1.83,43.45,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
5,VL,,1.76,2.92,40.29,SERVICE,,,ขนส่ง
6,EFORL,C,0.49,4.26,38.31,CONSUMP,,,เครื่องมือแพทย์
7,SENAJ,,1.24,-1.59,37.62,PROPCON,,,
8,ITNS,ST,4.34,0.46,29.37,,,,
9,PSG,,1.38,-0.72,24.14,PROPCON,,,
