,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,THANA,,2.86,17.21,56.3,PROPCON,,THANA PRECHA,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
1,SE,,1.35,7.14,26.89,SERVICE,,,ปั๊มสูบส่งนํ้า
2,AF,,1.0,6.38,2.21,FINCIAL,,,สินเชื่อภาคธุรกิจ
3,MORE,,2.78,6.11,207.52,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
4,GCAP,,1.31,5.65,9.09,FINCIAL,,ACAP GCAP,สินเชื่อเงินกู้ยืม
5,TAPAC,,3.08,5.48,3.19,PROPCON,,,พลาสติกสําหรับรถยนต์ พิมพ์สี
6,CHEWA,,0.8,5.26,4.06,PROPCON,,CMC NCH RICHY CI SAMCO PROUD CHEWA,พัฒนาอสังหาริมทรัพย์
7,COMAN,,5.7,4.59,0.02,TECH,,JTS ZIGA UPA ECF AJA COMAN MVP,ทำ Bitcoin mining เพิ่ม
8,BOL,,10.7,3.88,1.05,SERVICE,,,บริการข้อมูลข่าวสาร ให้บริการด้านบริหารความเสี่ยง
9,CHIC,,1.07,3.88,64.1,SERVICE,,,เฟอร์นิเจอร์ตกแต่งภายใน
