,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,1.95,-29.86,2776.1,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,PSG,,1.34,-6.94,267.91,PROPCON,,,
2,STOWER,C,0.04,-20.0,146.97,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
3,SENAJ,,1.25,-0.79,76.39,PROPCON,,,
4,FLOYD,,1.51,7.09,59.3,PROPCON,,,ระบบวิศวกรรมไฟฟ้าและสื่อสาร
5,NEWS,C,0.03,0.0,39.2,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
6,TAKUNI,,3.42,3.64,37.09,RESOURC,,CAZ TAKUNI,ปิโตรเลียมเหลว
7,KOOL,,0.58,7.41,35.1,SERVICE,,,พัดลมไอเย็น
8,UPA,,0.22,-4.35,33.23,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
9,HPT,,1.19,1.71,31.49,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
