,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,WAVE,C,0.13,-7.14,243.64,SERVICE,MEDIA,,
1,TTB,,1.36,0.74,203.54,FINCIAL,BANK,,กลาง
2,JKN,,5.05,4.77,192.53,SERVICE,MEDIA,,
3,PDJ,,3.54,22.07,144.03,CONSUMP,FASHION,,จิวเวอรี่
4,SIRI,,1.31,1.55,143.33,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
5,AQUA,,0.66,0.0,128.74,SERVICE,MEDIA,,
6,WHA,,3.94,0.51,120.83,PROPCON,PROP,,นิคมอุตสาหกรรม
7,PPPM,"C, NP",0.17,6.25,114.13,AGRO,AGRI,,อาหารสัตว์
8,TGE,,1.86,-7.92,113.43,RESOURC,ENERG,,ไฟฟ้าชีวมวล -ขยะ
9,BANPU,,12.5,1.63,98.21,RESOURC,ENERG,,ถ่านหิน
