,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TH,,2.78,25.23,381.75,FINCIAL,FIN,,
1,WAVE,C,0.13,-7.14,268.87,SERVICE,MEDIA,,
2,SIRI,,1.48,2.07,222.47,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
3,TRUE,,4.56,-0.87,210.77,TECH,ICT,,บริการสื่อสารโทรคมนาคม
4,TTB,,1.39,1.46,166.69,FINCIAL,BANK,,กลาง
5,AWC,,6.3,-1.56,123.7,PROPCON,PROP,,โรงแรม สํานักงาน และพื้นที่ให้เช่า
6,POLY,,13.5,2.27,115.37,,,,
7,PPPM,"C, NP",0.12,-7.69,108.41,AGRO,AGRI,,อาหารสัตว์
8,BANPU,,13.1,2.34,103.05,RESOURC,ENERG,,ถ่านหิน
9,AQ,C,0.02,0.0,99.39,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
