,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,SENAJ,,1.25,2.46,137.94,PROPCON,,,
1,ZIGA,,4.42,3.27,112.7,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
2,PJW,,5.1,-5.56,67.26,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
3,SALEE,,1.34,-4.29,58.12,INDUS,,SALEE SLP COLOR,พลาสติกสําหรับรถยนต์ พิมพ์สี
4,NEWS,C,0.03,0.0,55.65,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
5,ITNS,ST,3.92,-3.45,48.57,,,,
6,PSG,,1.37,2.24,44.31,PROPCON,,,
7,PTC,,3.06,-1.92,38.48,RESOURC,,,คลังนํ้ามันเชื้อเพลิง
8,ECF,,1.78,-0.56,34.1,CONSUMP,,JTS ZIGA UPA ECF AJA COMAN MVP,เฟอร์นิเจอร์ไม้และแปรรูปไม้ยางพารา
9,TAKUNI,,3.5,-2.23,25.15,RESOURC,,CAZ TAKUNI,ปิโตรเลียมเหลว
